Timestamp,BPM,GSR,Anomaly_Score,Is_Anomaly
2023-12-11 10:36:00,74.0,472,0.0,1.0
2023-12-11 10:36:15,83.0,445,0.0,1.0
2023-12-11 10:36:30,105.0,405,-0.0165269042233782,-1.0
2023-12-11 10:36:45,74.0,461,0.1926002621949448,1.0
2023-12-11 10:37:00,79.0,415,0.0814751761600445,1.0
2023-12-11 10:37:15,74.0,409,0.0948304109600186,1.0
2023-12-11 10:37:30,92.0,449,0.0416789435515443,1.0
2023-12-11 10:37:45,79.0,411,0.1308012638933337,1.0
2023-12-11 10:38:00,74.0,421,0.1130705438795872,1.0
2023-12-11 10:38:15,92.0,424,0.0396736780690258,1.0
2023-12-11 10:38:30,82.6,446,0.1032318104425598,1.0
