Timestamp,BPM,GSR,Anomaly_Score,Is_Anomaly
2023-12-14 14:54:26,8.0,621,0.0,1.0
2023-12-14 14:54:41,4.0,581,0.0,1.0
2023-12-14 14:54:56,0.0,547,-0.0038828583306754,-1.0
2023-12-14 14:55:11,0.0,522,0.0562556014480294,1.0
2023-12-14 14:55:26,0.0,484,0.0478504331566488,1.0
2023-12-14 14:55:41,0.0,449,0.0420632555309757,1.0
2023-12-14 14:55:56,0.0,413,0.0534819100892418,1.0
2023-12-14 14:56:11,0.0,411,0.1201952511914935,1.0
2023-12-14 14:56:27,0.0,431,0.168737139857641,1.0
2023-12-14 14:56:42,0.0,403,0.1287751982595832,1.0
2023-12-14 14:58:42,66.0,389,0.0,1.0
2023-12-14 14:58:57,66.0,407,0.2465891847870519,1.0
2023-12-14 14:59:12,66.0,407,0.2711772442255434,1.0
2023-12-14 15:53:44,66.0,383,0.1378228646300148,1.0
2023-12-14 15:55:29,66.0,446,0.0573699782210993,1.0
2023-12-14 15:56:29,66.0,423,0.23668864702186,1.0
2023-12-14 15:57:14,66.0,684,0.0039057266897805,1.0
2023-12-14 15:57:29,66.0,684,0.0528537301900988,1.0
2023-12-14 15:57:44,66.0,683,0.049637386153735,1.0
2023-12-14 15:57:59,66.0,681,0.067669443786531,1.0
2023-12-14 15:58:14,66.0,679,0.0889871650691965,1.0
2023-12-14 15:58:29,66.0,678,0.1148873097497964,1.0
2023-12-14 15:59:14,66.0,664,0.0689592795583508,1.0
2023-12-14 15:59:59,66.0,654,0.101575759512155,1.0
2023-12-14 16:00:29,66.0,671,0.1643218387469475,1.0
2023-12-16 22:45:15,66.0,672,0.1920616721017751,1.0
2023-12-16 22:45:30,66.0,652,0.1488349749624624,1.0
2023-12-16 22:46:00,66.0,606,0.1063545860840131,1.0
2023-12-16 22:46:15,66.0,596,0.1419815399549648,1.0
2023-12-16 22:46:45,66.0,582,0.0345647078736416,1.0
2023-12-16 22:49:12,66.00000195881542,668,0.1441417703396812,1.0
2023-12-16 22:49:27,66.00000009327692,668,0.1643782958830153,1.0
2023-12-16 22:49:42,66.00000009327692,667,0.169328382428793,1.0
2023-12-16 22:52:55,66.00000009327692,667,0.1916880749430617,1.0
2023-12-16 22:53:10,66.00000009327692,667,0.2034389177329251,1.0
2023-12-16 22:53:25,66.00000009327692,665,0.1860730379435348,1.0
2023-12-16 22:53:40,66.00000009327692,664,0.1821993184554565,1.0
2023-12-16 22:53:55,66.00000009327692,669,0.2011367364233766,1.0
2023-12-16 22:55:10,79.0,667,-0.071617779319188,-1.0
